Designator,Mid X,Mid Y,Layer,Rotation
C1,12.0000mm,-12.0000mm,Bottom,0.000000
C2,18.0000mm,-12.0000mm,Bottom,0.000000
C3,28.8000mm,-4.4000mm,Bottom,0.000000
C4,36.1609mm,-11.2656mm,Bottom,0.000000
C5,36.2475mm,-14.4600mm,Bottom,0.000000
C6,29.8875mm,-16.6000mm,Bottom,0.000000
C7,21.6000mm,-2.2000mm,Bottom,180.000000
C8,28.5598mm,-13.0000mm,Bottom,0.000000
C9,32.3603mm,-13.0000mm,Bottom,0.000000
C12,46.4879mm,-10.4438mm,Bottom,0.000000
C14,47.0888mm,-4.1250mm,Bottom,0.000000
C15,50.9187mm,-4.1250mm,Bottom,0.000000
C16,53.7554mm,-5.0300mm,Bottom,90.000000
C17,46.9969mm,-6.4757mm,Bottom,0.000000
C18,50.6750mm,-7.8994mm,Bottom,0.000000
C19,47.3119mm,-8.5764mm,Bottom,0.000000
C20,48.3537mm,-12.5591mm,Bottom,0.000000
C21,51.9385mm,-13.9000mm,Bottom,0.000000
C22,48.3987mm,-14.6782mm,Bottom,0.000000
D1,21.5931mm,-16.4050mm,Bottom,0.000000
D4,33.0000mm,-8.1322mm,Bottom,0.000000
F1,10.9050mm,-17.4252mm,Bottom,0.000000
FB1,16.6350mm,-16.3550mm,Bottom,0.000000
FB2,36.0000mm,-3.6022mm,Bottom,90.000000
Q4,44.3038mm,-13.2758mm,Bottom,0.000000
Q6,44.4838mm,-17.1058mm,Bottom,0.000000
Q7,11.3000mm,-4.9000mm,Bottom,0.000000
Q9,17.3500mm,-4.9500mm,Bottom,0.000000
R1,6.5000mm,-2.8000mm,Bottom,0.000000
R2,6.0669mm,-17.4000mm,Bottom,0.000000
R3,11.9325mm,-9.0000mm,Bottom,0.000000
R4,15.3000mm,-9.0000mm,Bottom,0.000000
R6,25.4325mm,-4.4000mm,Bottom,0.000000
R7,25.5000mm,-15.7000mm,Bottom,0.000000
R8,26.0000mm,-8.0000mm,Bottom,0.000000
R9,33.2550mm,-16.6700mm,Bottom,0.000000
R10,36.6450mm,-16.6700mm,Bottom,0.000000
R11,40.0125mm,-16.8250mm,Bottom,0.000000
R12,39.7391mm,-9.3793mm,Bottom,0.000000
R13,43.0979mm,-9.3828mm,Bottom,0.000000
R14,40.0000mm,-7.4000mm,Bottom,0.000000
R17,40.4775mm,-11.2436mm,Bottom,0.000000
R18,40.4450mm,-13.1050mm,Bottom,0.000000
R19,40.4990mm,-14.9650mm,Bottom,0.000000
R20,48.9000mm,-16.5682mm,Bottom,0.000000
R21,18.6675mm,-9.0000mm,Bottom,0.000000
R22,13.7500mm,-4.9000mm,Bottom,90.000000
R23,39.3000mm,-4.2000mm,Bottom,0.000000
R24,29.9000mm,-1.9000mm,Bottom,0.000000
R25,11.8000mm,-14.3000mm,Bottom,0.000000
R26,33.2000mm,-2.3500mm,Bottom,0.000000
R27,9.5500mm,-2.7000mm,Bottom,0.000000
U5,24.0000mm,-12.3459mm,Bottom,0.000000
U7,21.6500mm,-5.4000mm,Bottom,180.000000
C10,40.0000mm,-7.0000mm,Top,90.000000
C11,42.1000mm,-3.5500mm,Top,180.000000
D2,14.3000mm,-12.7000mm,Top,0.000000
D3,21.7000mm,-12.7000mm,Top,0.000000
D5,33.4000mm,-1.9000mm,Top,0.000000
FB3,46.6000mm,-11.4000mm,Top,90.000000
FB4,46.6000mm,-15.4000mm,Top,90.000000
J1,4.4000mm,-10.1600mm,Top,-90.000000
J2,53.3000mm,-10.2000mm,Top,90.000000
L1,46.6000mm,-6.4000mm,Top,0.000000
LED1,8.6000mm,-17.6000mm,Top,0.000000
LED2,12.2000mm,-17.6000mm,Top,0.000000
Q1,26.8000mm,-7.0000mm,Top,0.000000
Q2,33.0000mm,-6.8000mm,Top,0.000000
Q3,43.0000mm,-10.8000mm,Top,0.000000
Q5,43.0000mm,-15.0000mm,Top,0.000000
R5,29.8000mm,-13.2000mm,Top,0.000000
R28,15.6000mm,-15.5000mm,Top,180.000000
R29,12.4500mm,-15.5000mm,Top,180.000000
R30,38.2000mm,-15.7700mm,Top,0.000000
R31,19.9000mm,-3.7000mm,Top,0.000000
R32,27.7500mm,-1.4000mm,Top,0.000000
R33,23.0000mm,-3.7000mm,Top,0.000000
U2,14.5000mm,-7.5000mm,Top,0.000000
U3,22.0000mm,-7.0000mm,Top,0.000000
U4,37.2000mm,-13.2000mm,Top,0.000000
U6,42.6000mm,-5.4000mm,Top,0.000000
